NAME                                                              CPU(cores)   MEMORY(bytes)   
swisscollections-vufind-prod-deployment-cb56d8d7b-ktqvp           68m          130Mi           
swisscollections-vufind-prod-deployment-cb56d8d7b-hwzwt           59m          148Mi           
api-import-prod-79ddff7bf6-mtlfm                                  44m          177Mi           
api-import-stage-576d554477-96mtq                                 40m          124Mi           
swisscollections-vufind-prod-deployment-cb56d8d7b-p5fv2           37m          157Mi           
autodeploy-service-deployment-7b5d98bb4f-v9prv                    33m          122Mi           
sm-media-url-updater-stage-c9d547bbd-8b94b                        33m          116Mi           
sm-media-url-updater-prod-7b6db95759-twwcn                        30m          115Mi           
api-import-test-757dc9d5d5-msnkt                                  29m          127Mi           
di-media-metadata-indexer-stage-69f7659f94-25x4x                  26m          59Mi            
di-media-metadata-indexer-test-789df6799c-298cj                   25m          57Mi            
di-media-metadata-indexer-prod-6f49d748d-gnpd6                    24m          58Mi            
sm-media-url-updater-test-6b96595564-sv5ld                        24m          118Mi           
di-reports-aggregator-prod-7689b56568-rt85t                       20m          476Mi           
gi-drupal-syncer-prod-deployment-565df65755-5ftwf                 13m          231Mi           
gi-es-institutions-transformer-stage-deployment-77d9b884d4h6f4w   13m          187Mi           
di-reports-indexer-test-deployment-759559bd46-tkxs2               12m          240Mi           
di-xml-data-transform-stage-8447d94bd5-jpvht                      12m          274Mi           
gi-es-record-sets-indexer-test-deployment-7cb9f79db-qhrsm         12m          242Mi           
di-media-converter-stage-5f756f7bfd-9rwdx                         12m          237Mi           
di-media-metadata-preprocessor-prod-58c884bfdf-9ncfg              12m          166Mi           
di-reports-aggregator-stage-79d78648d4-9tblr                      12m          238Mi           
di-xml-data-transform-test-578cdb6bfb-cfnvk                       11m          301Mi           
gi-drupal-syncer-stage-deployment-c4cff5d97-2r88x                 11m          156Mi           
gi-es-institutions-indexer-test-deployment-77449d484-plsh4        11m          166Mi           
di-es-indexer-test-deployment-7585d8b6dc-jdn5v                    11m          170Mi           
di-reports-aggregator-test-85bd646779-pwgcj                       11m          261Mi           
di-normalizer-stage-deployment-57658b86d5-r927v                   11m          266Mi           
di-media-metadata-preprocessor-stage-54b8575588-krwlb             10m          136Mi           
gi-drupal-syncer-test-deployment-7d74774d54-pl774                 10m          158Mi           
gi-connector-stage-deployment-7b7f96d66c-r6dbm                    10m          154Mi           
gi-connector-prod-deployment-5946ddff5c-t9vb2                     9m           214Mi           
gi-es-record-set-updates-indexer-test-deployment-757d4dbf72tjk6   9m           174Mi           
di-iiif-manifest-indexer-v2-stage-5988f45466-ttssj                9m           129Mi           
gi-es-institutions-transformer-prod-deployment-685df65dd-cdp6k    9m           254Mi           
di-image-enricher-prod-6f64d867cc-gblwc                           9m           433Mi           
gi-es-institutions-transformer-test-deployment-5968ffd598-qr6mw   9m           186Mi           
di-normalizer-prod-deployment-5c668b77b8-4q57m                    9m           443Mi           
di-media-converter-prod-665488cb6f-kmvbz                          9m           347Mi           
di-connector-stage-deployment-dfbf6fc7c-9d8vh                     9m           277Mi           
di-es-transformer-stage-deployment-55747c8765-zshls               8m           318Mi           
di-mapper-stage-deployment-fd9d65968-tjqxf                        8m           252Mi           
di-mapper-prod-deployment-5576bf787-p755f                         8m           540Mi           
di-xml-data-transform-prod-6974c68bb-pmgzd                        8m           717Mi           
di-media-linker-prod-deployment-b959f9bfb-2bfd4                   8m           412Mi           
di-media-linker-stage-deployment-ff75cbd87-c5l6f                  8m           292Mi           
gi-es-institution-updates-indexer-test-deployment-787b84ccgfchr   8m           236Mi           
di-image-enricher-stage-fff4b694f-7mwp7                           8m           273Mi           
di-av-enricher-prod-bc69794bf-dsrjm                               8m           411Mi           
konkordanz-swissbib-slsp-deployment-api-577ddd7f95-vgp8f          8m           386Mi           
di-av-enricher-stage-5db78f64c9-9sr9x                             8m           140Mi           
di-connector-test-deployment-c77c6f84f-565nh                      8m           157Mi           
di-reports-processor-stage-deployment-79cc6948c-rv7zn             8m           210Mi           
di-reports-processor-prod-deployment-8dff8b847-wx2b8              8m           372Mi           
gi-es-record-sets-transformer-prod-deployment-69899d4477-xhbk7    8m           254Mi           
di-es-transformer-prod-deployment-77956d865f-7bbgk                8m           338Mi           
di-mapper-test-deployment-56494757b8-ckcqq                        8m           184Mi           
