NAME                                                              CPU(cores)   MEMORY(bytes)   
swisscollections-alphabrowse-deployment-prod-api-966cc698fs9qfq   7m           1507Mi          
api-image-server-prod-c578f56d9-pwnv4                             2m           1296Mi          
api-image-server-prod-c578f56d9-7nbsk                             2m           1238Mi          
di-xml-data-transform-prod-6974c68bb-pmgzd                        9m           717Mi           
di-reports-indexer-prod-deployment-6d44fbd88c-46xnz               4m           633Mi           
di-mapper-prod-deployment-5576bf787-p755f                         8m           540Mi           
swisscollections-hierarchy-enricher-prod-deployment-78974f5ml4k   6m           483Mi           
di-reports-aggregator-prod-7689b56568-rt85t                       19m          476Mi           
swisscollections-filter-prod-deployment-6476cb7f65-9nkxf          4m           472Mi           
di-reports-indexer-stage-deployment-6b4cdfd574-6lzww              5m           472Mi           
di-normalizer-prod-deployment-5c668b77b8-4q57m                    9m           443Mi           
swisscollections-browse-index-values-prod-deployment-7bdc7vnwft   6m           442Mi           
api-image-server-stage-6fd9f46786-v6r4t                           2m           437Mi           
di-image-enricher-prod-6f64d867cc-gblwc                           15m          433Mi           
swisscollections-filter-prod-deployment-6476cb7f65-gvwjb          5m           432Mi           
swisscollections-hierarchy-enricher-prod-deployment-78974f5wqlq   5m           426Mi           
swisscollections-solr-indexer-browsing-prod-cluster1-deplohsdbz   4m           425Mi           
api-image-server-test-559696bdc6-rlqxs                            2m           419Mi           
swisscollections-filter-prod-deployment-6476cb7f65-bjhz9          5m           416Mi           
di-media-linker-prod-deployment-b959f9bfb-2bfd4                   8m           412Mi           
di-av-enricher-prod-bc69794bf-dsrjm                               8m           411Mi           
swisscollections-browse-index-values-prod-deployment-7bdc7vtxl2   5m           398Mi           
konkordanz-swissbib-slsp-deployment-api-577ddd7f95-vgp8f          7m           386Mi           
di-es-indexer-prod-deployment-6d8d7b7cc5-x7qtf                    5m           382Mi           
swisscollections-content2searchdocs-prod-deployment-5c8f54rwdhk   7m           381Mi           
di-reports-processor-prod-deployment-8dff8b847-wx2b8              9m           372Mi           
oai-deployment-55c7c8766f-dkzj6                                   5m           364Mi           
gi-es-record-set-updates-indexer-prod-deployment-57dd5bfcbtg76v   7m           360Mi           
di-media-converter-prod-665488cb6f-kmvbz                          8m           347Mi           
swisscollections-browse-index-values-prod-deployment-7bdc7qnd5k   4m           343Mi           
swisscollections-alphabrowse-deployment-test-api-fdd4ff69fvqhn5   6m           338Mi           
di-es-transformer-prod-deployment-77956d865f-7bbgk                8m           338Mi           
swisscollections-content2searchdocs-prod-deployment-5c8f54zfv8v   5m           333Mi           
api-media-server-prod-d674c648-928bz                              1m           327Mi           
di-es-transformer-stage-deployment-55747c8765-zshls               9m           318Mi           
di-connector-prod-deployment-58455cdd8-fl7c2                      7m           305Mi           
di-xml-data-transform-test-578cdb6bfb-cfnvk                       12m          301Mi           
di-media-linker-stage-deployment-ff75cbd87-c5l6f                  8m           292Mi           
di-connector-stage-deployment-dfbf6fc7c-9d8vh                     9m           277Mi           
swisscollections-solr-indexer-prod-cluster1-deployment-bffm8hpc   4m           275Mi           
di-xml-data-transform-stage-8447d94bd5-jpvht                      12m          274Mi           
di-image-enricher-stage-fff4b694f-7mwp7                           8m           273Mi           
